file,type,pprop,ptrend
wrong_false_all_10,current_try,0.4068133307566072,0.4068133307566071
correct_true_all_10,current_try,0.411495085716829,0.4114950857168279
wrong_true_all_10,current_try,0.41382582880304597,0.41382582880304786
correct_false_all_10,current_try,0.40993811497922394,0.4099381149792217
correct_false_all_10,q_0_age_answer,0.20215702748086434,0.9907758547551259
correct_true_all_10,q_0_age_answer,0.7747369786886449,0.43910519099191936
wrong_false_all_10,q_0_age_answer,0.03344521103670936,0.2560442521495324
wrong_true_all_10,q_0_age_answer,0.547082656859045,0.23563754454863084
wrong_true_all_10,q_0_school_answer,0.25336972730471785,0.7990624541667961
correct_false_all_10,q_0_school_answer,0.18617108507124694,0.6344464182913826
correct_true_all_10,q_0_school_answer,0.2345295231550226,0.5611148776353702
wrong_false_all_10,q_0_school_answer,0.7417805927590209,0.4849627388256628
wrong_false_all_10,q_0_taxes_answer,0.05135983403323052,0.601051825812938
correct_true_all_10,q_0_taxes_answer,0.3485143677322261,0.010547315939528026
correct_false_all_10,q_0_taxes_answer,0.24348520277917007,0.7426712267012542
wrong_true_all_10,q_0_taxes_answer,0.5784250456045822,0.8481991806645139
correct_true_all_10,q_0_political_views_answer,0.2066894645449005,0.13129680641937846
wrong_false_all_10,q_0_political_views_answer,0.23740269228526606,0.2804269880436097
correct_false_all_10,q_0_political_views_answer,0.5303238319266774,0.20070956503868873
wrong_true_all_10,q_0_political_views_answer,0.37956430400108576,0.2403728723349724
correct_false_all_10,q_0_consideration_answer,0.36591904664241964,
correct_true_all_10,q_0_consideration_answer,0.4556315315173023,
wrong_false_all_10,q_0_consideration_answer,0.7368321471355976,
wrong_true_all_10,q_0_consideration_answer,0.9784108055361386,
correct_false_all_10,q_0_southern_border_answer,0.31610955977474064,0.13550136172050897
correct_true_all_10,q_0_southern_border_answer,0.05005699325935122,0.015181787166925845
wrong_false_all_10,q_0_southern_border_answer,0.32147771353624266,0.1371371285692856
wrong_true_all_10,q_0_southern_border_answer,0.45293038512760964,0.7306562644835694
correct_false_all_10,q_0_environment_answer,0.07313710076088252,0.022955224000111435
correct_true_all_10,q_0_environment_answer,0.7854795748590154,0.5412873644429709
wrong_false_all_10,q_0_environment_answer,0.14198824726114415,0.06316693894202088
wrong_true_all_10,q_0_environment_answer,0.702487143797661,0.4219486953360243
correct_false_all_10,q_1_farmers_value,0.730111539194545,
correct_true_all_10,q_1_farmers_value,0.6652382346452812,
wrong_false_all_10,q_1_farmers_value,0.2974685157221163,
wrong_true_all_10,q_1_farmers_value,0.6241856474752316,
correct_false_all_10,q_2_marks_value,0.17644055607151882,
correct_true_all_10,q_2_marks_value,0.7455579523607583,
wrong_false_all_10,q_2_marks_value,0.621834789148922,
wrong_true_all_10,q_2_marks_value,0.1471789208982562,
correct_false_all_10,q_3_athletics_value,0.017498330640355143,
correct_true_all_10,q_3_athletics_value,0.5876268812029117,
wrong_false_all_10,q_3_athletics_value,0.7805027762338764,
wrong_true_all_10,q_3_athletics_value,0.9451969854259026,
wrong_true_all_10,doc_index,4.230510083663179e-06,0.4516801386311905
wrong_false_all_10,doc_index,0.14882839036720108,0.08425130828201344
correct_false_all_10,doc_index,0.4259121432465308,0.9825297341522728
