file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,wrong_15,For coronavirus casesin the US 38 of those hospitalized are under 35ï½,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.3,2.9,1.1,59.3,1.7,280.732,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
medical_1,wrong_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),2.1,2.6,1.0,70.13,1.8,270.035,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE
medical_1,wrong_15,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.9,1.2,62.67999999999999,1.9,232.708,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
medical_1,wrong_15,If your child gets this virus their going to hospital alone in a van with people they donï½t knowï½to be with people they donï½t knowï½ you will be at home without them in their time of need,1.0,26-35 (1.30),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (5.10)",Moderate (1.90),Democrat (0.90),No opinion either way (1.00),Agree (2.00),wrong value (0.50),wrong value (0.20),correct value (0.80),1.8,2.2,1.0,67.76,2.2,251.403,pants-on-fire_doc1,Facebook Post,2020-25-03,Viral Image,pants-on-fire
medical_1,wrong_15,Photo shows a crowded New York City subway train during stayathome order,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),3.1,2.7,1.1,59.3,2.3,124.205,true_doc9,Viral Image,2/4/2020,Facebook Post,TRUE
medical_2,wrong_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.4,1.5,1.0,11.58,1.5,176.2188888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
medical_2,wrong_15,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.3,1.6,1.1,62.67999999999999,1.6,134.052,pants-on-fire_doc6,Youtube Video,2020-29-02,Youtube Videos,pants-on-fire
medical_2,wrong_15,Photo shows a crowded New York City subway train during stayathome order,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.1,2.7,1.0,59.3,2.3,171.725,true_doc9,Viral Image,2/4/2020,Facebook Post,TRUE
medical_3,wrong_15,For coronavirus cases in the US 38 of those hospitalized are under 35,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.3,3.7,1.1,63.764,1.9,144.409,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
medical_3,wrong_15,Says Nevada Governor Steve Sisolak has banned the use of an antimalaria drug that might help cure coronavirus,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.9,4.0,1.3,61.973,2.0,126.29777777777778,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
medical_3,wrong_15,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,1.3,36-50 (1.60),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.10)",Moderate (1.80),Democrat (1.10),No opinion either way (1.40),Agree (1.80),wrong value (0.30),wrong value (0.10),wrong value (0.30),4.0,2.1,1.4,30.160000000000004,2.1,149.32666666666668,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire
medical_3,wrong_15,the US is developing an antivirus that includes a chip to track your movement,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.5,2.3,1.2,71.955,2.3,152.36700000000002,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
medical_4,wrong_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereâ,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),2.1,3.2,1.0,70.13,2.4,136.51625,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE
medical_4,wrong_15,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.3,2.5,1.1,62.67999999999999,2.5,151.913,pants-on-fire_doc6,Youtube Video,2020-29-02,Youtube Videos,pants-on-fire
medical_4,wrong_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),2.4,2.7,1.3,11.58,2.7,174.2588888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
medical_4,wrong_15,the US is developing anantivirusâ that includes a chip to track your movement,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.5,2.9,1.4,66.74,2.9,105.441,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
